id|title|description|authorId
1|The House on 56th Street|faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan|761
2|Between Strangers|vel nisl duis ac nibh fusce lacus purus aliquet at feugiat|642
3|Only You|eleifend quam a odio in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie|763
4|Omen IV: The Awakening|diam neque vestibulum eget vulputate ut ultrices vel augue vestibulum ante ipsum primis in|814
5|Jaws 3-D|sed nisl nunc rhoncus dui vel sem sed sagittis nam congue risus semper porta volutpat quam pede|403
6|Recess: School's Out|morbi vestibulum velit id pretium iaculis diam erat fermentum justo|39
7|New One-Armed Swordsman, The (Xin du bi dao)|sapien placerat ante nulla justo aliquam quis turpis eget elit sodales|27
8|Funny People|ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae duis faucibus accumsan odio curabitur convallis|513
9|Coraline|rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio|454
10|Cure|ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus|874
11|Lovelace|auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc|272
12|Personal Velocity|habitasse platea dictumst morbi vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum|933
13|Indecent Proposal|ut nunc vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia|289
14|Road, The|aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in|842
15|Endgame: Blueprint for Global Enslavement|vel ipsum praesent blandit lacinia erat vestibulum sed magna at nunc commodo|163
16|Painted Veil, The|vestibulum velit id pretium iaculis diam erat fermentum justo nec condimentum neque sapien|68
17|Firestorm|interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac lobortis vel dapibus at|946
18|Daredevil|nulla elit ac nulla sed vel enim sit amet nunc viverra dapibus nulla suscipit ligula in lacus curabitur at ipsum|797
19|Heaven's Burning|sapien varius ut blandit non interdum in ante vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|664
20|Necessities of Life, The (Ce qu'il faut pour vivre)|suspendisse accumsan tortor quis turpis sed ante vivamus tortor duis mattis egestas metus aenean|267
21|Man About Town|consequat ut nulla sed accumsan felis ut at dolor quis odio consequat varius integer ac leo pellentesque ultrices mattis|869
22|Boundin'|in lacus curabitur at ipsum ac tellus semper interdum mauris|331
23|Girl on a Motorcycle, The|lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id luctus nec molestie|633
24|Scooby-Doo|nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus sit|899
25|Serial|odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet erat nulla tempus|507
26|A Year Along the Abandoned Road|nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse|399
27|Seduction of Joe Tynan, The|nam congue risus semper porta volutpat quam pede lobortis ligula sit|442
28|The Studio Murder Mystery|nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst|699
29|God Is the Bigger Elvis|volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus|975
30|Very Brady Sequel, A|augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero|188
31|Visitor, The (Muukalainen)|vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere|419
32|Sexmission (Seksmisja)|vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu|82
33|Age of the Earth, The (A Idade da Terra)|quam nec dui luctus rutrum nulla tellus in sagittis dui vel nisl duis ac nibh fusce lacus purus|190
34|Virginity Hit, The|maecenas rhoncus aliquam lacus morbi quis tortor id nulla ultrices aliquet maecenas leo odio condimentum id|294
35|Substitute, The|eu magna vulputate luctus cum sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus vivamus vestibulum sagittis sapien|153
36|No Blade of Grass|justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis in faucibus orci luctus et ultrices|257
